縣市別,縣市別(En),心臟疾病(高血壓性疾病除外)死亡人數, 心臟疾病死亡率,心臟疾病標準化死亡率, 糖尿病死亡人數, 糖尿病死亡率,糖尿病標準化死亡率
新北市,New Taipei City,"                    3,346 ",                      84.0 ,                      54.1 ," 1,214 ", 30.5 , 20.0 
臺北市,Taipei City,"                    2,750 ",                    102.3 ,                      45.8 , 728 , 27.1 , 12.4 
桃園市,Taoyuan City,"                    1,593 ",                      73.5 ,                      50.2 , 627 , 28.9 , 20.4 
臺中市,Taichung City,"                    1,560 ",                      56.2 ,                      37.8 ," 1,114 ", 40.1 , 27.3 
臺南市,Tainan City,"                    1,617 ",                      85.7 ,                      45.2 ," 1,037 ", 55.0 , 29.1 
高雄市,Kaohsiung City,"                    2,018 ",                      72.6 ,                      42.2 ," 1,282 ", 46.1 , 26.9 
宜蘭縣,Yilan County,                       642 ,                    140.5 ,                      50.1 , 165 , 36.1 , 13.9 
新竹縣,Hsinchu County,                       437 ,                      79.5 ,                      46.7 , 279 , 50.7 , 30.8 
苗栗縣,Miaoli County,                       564 ,                    101.3 ,                      46.5 , 296 , 53.2 , 27.3 
彰化縣,Changhua County,"                    1,198 ",                      93.2 ,                      46.9 , 668 , 52.0 , 26.4 
南投縣,Nantou County,                       553 ,                    109.9 ,                      48.0 , 319 , 63.4 , 30.2 
雲林縣,Yunlin County,                       866 ,                    125.0 ,                      53.0 , 389 , 56.2 , 24.6 
嘉義縣,Chiayi County,                       635 ,                    123.7 ,                      50.7 , 317 , 61.8 , 24.3 
屏東縣,Pingtung County,                       966 ,                    116.0 ,                      59.0 , 499 , 59.9 , 29.9 
臺東縣,Taitung County,                       369 ,                    167.6 ,                      86.6 , 100 , 45.4 , 23.6 
花蓮縣,Hualien County,                       352 ,                    106.6 ,                      53.4 , 213 , 64.5 , 32.8 
澎湖縣,Wuhu County,                       123 ,                    118.6 ,                      51.8 , 43 , 41.5 , 19.4 
基隆市,Keelung City,                       458 ,                    123.2 ,                      63.1 , 207 , 55.7 , 29.6 
新竹市,Hsinchu City,                       295 ,                      67.2 ,                      42.2 , 208 , 47.4 , 30.5 
嘉義市,Chiayi City,                       175 ,                      64.9 ,                      35.7 , 118 , 43.8 , 23.1 
